Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000500910785996823,0.0173218434634204,0.0099862905431438,0,0,0,0.135949329083076,1.97764709604603E-05,-2.25102941457857E-08,-2.95427974025951E-09,6.99381836812554E-05,1.73059202778075E-06,7.26645068300161E-05,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/base_link.STL,,0203Assemble【MainBody】LegAssem_V2_0203-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Waist,-8.30612609942216E-11,0.0324696863156454,0.026927954716485,0,0,0,0.0152478549678287,9.63125992413616E-06,-4.11230539803974E-14,-1.78226542541015E-14,5.88153288004388E-06,1.47868590781889E-07,5.40129346132741E-06,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/Waist.STL,1,1,1,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/Waist.STL,,0203AssembleYaw_Swing_URDF2-1,Origin_Waist,WAIST,Waist,fixed,0.00275,0.02161,0.04211,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Waist_2,0.00276499606532026,0.196357419222416,0.0254713742276572,0,0,0,0.592931054758702,0.00060107192343362,1.28924517463785E-06,2.54284162581909E-05,0.000814982910519085,1.1093907317359E-05,0.0011376092246663,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/Waist_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/Waist_2.STL,,0203AssembleBodyUrdf-1;Neck2.3-2,Origin_Waist_2,WAIST_2,Waist_2,revolute,0.0021648,-0.015854,0.049204,3.1416,0,3.1386,Waist,-0.0029703,-1,0,0,0,-6.3,6.3,,,,,,,,
RSDp,-0.0178691059729415,-0.0245376874428967,-0.00594363108060744,0,0,0,0.0086699675660824,2.4185481628886E-06,4.81669677091078E-08,3.69839487042425E-07,2.62122104926124E-06,-1.15971922654064E-07,8.2614109138854E-07,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/RSDp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/RSDp.STL,,Right_SD_p-1,Origin_RSDp,RSDp,RSDp,revolute,-0.12555,0.18104,0.039621,3.0698,-0.053568,3.1386,Waist_2,1,0,0,0,0,-1.57,1.57,,,,,,,,
RSDy,-0.00268951566935449,-0.0432907123235487,-0.01217258773148,0,0,0,0.0027087888876167,7.44326056980046E-07,9.46622369551182E-08,4.12905364173826E-08,5.11482673925874E-07,2.03709556090736E-07,4.13356846017118E-07,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/RSDy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/RSDy.STL,,RIGHT_SD_y-1,Origin_RSDy,RSDy,RSDy,revolute,0,0,0,0,0,0,RSDp,0,0.071764,-0.99742,0,0,-1.4,0.14,,,,,,,,
RSDr,-0.00493739086646305,-0.111722458902205,-0.00531068604375631,0,0,0,0.0562439571547897,5.27058557552841E-06,4.82411697262605E-09,-1.90476291295014E-07,3.88872299888649E-06,1.8387664386437E-07,5.30321918043653E-06,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/RSDr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/RSDr.STL,,RIGHT_SD_r-1,Origin_RSDr,R_ARM_R <RIGHT_SD_r-1>,RSDr,fixed,-0.011195,-0.010301,0.0060584,3.0635,0.002804,-3.1059,RSDy,0,0,0,0,0,-0.22,1.47,,,,,,,,
RARMp,-0.00880877617749415,-0.0323182738264633,-0.00327862358260861,0,0,0,0.0200172060086156,7.84171810122147E-06,4.36365104409271E-08,5.1688917566164E-08,1.79835587991691E-06,-3.62157972747385E-08,6.76522447475708E-06,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/RARMp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/RARMp.STL,,RIGHT_ARM_p-1,Origin_RARMp,RARMp,RARMp,revolute,-0.0044747,-0.13995,-0.00088824,0.0063485,1.1667E-05,0.035763,RSDr,1,0,0,0,0,-2.3,0.29,,,,,,,,
R_ARM_feet,1.2953153827322E-09,-0.00336690315123908,7.96794141083579E-12,0,0,0,0.00799479683879014,7.21828532435393E-07,1.07361785844998E-14,1.77506038800139E-13,1.3571467402155E-06,-1.4407899414083E-16,7.21874996864772E-07,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/R_ARM_feet.STL,1,1,1,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/R_ARM_feet.STL,,feet-3,Origin_R_ARM_feet,Axis_R_ARM_feet,R_ARM_feet,fixed,0,-0.1635,0,-3.1416,0.053568,3.1416,RARMp,0,0,0,,,,,,,,,,,,
LSDp,0.00532159384429402,-0.0161945776708646,-0.0114893043421616,0,0,0,0.00824326074358946,2.40080281350151E-06,-7.45183864648935E-08,-3.65127810019035E-07,2.58667384237348E-06,-2.43286627561112E-07,8.42040299247691E-07,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/LSDp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/LSDp.STL,,Left_SD_p-1,Origin_LSDp,LSDp,LSDp,revolute,0.12002,0.17091,0.01973,3.1415,-0.052511,3.141,Waist_2,1,0.0023807,-0.001057,0,0,-1.57,1.57,,,,,,,,
LSDy,-0.00853936372152241,-0.0344797499848766,-0.0158346788164398,0,0,0,0.0027087888876167,7.44326056980033E-07,-9.7381329668678E-08,-3.43907565334529E-08,5.40139866980605E-07,1.9458760940736E-07,3.84699652962391E-07,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/LSDy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_URDF_v2/meshes/LSDy.STL,,Left_SD_y-1,Origin_LSDy,LSDy,LSDy,revolute,0,0,0,0,0,0,LSDp,-0.001057,0,-1,0,0,-0.14,1.4,,,,,,,,
