Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000500910908733885,-0.00998629103930559,0.0173218447986229,0,0,0,0.135949336403266,1.97764712583923E-05,2.95428059624511E-09,-2.251029411586E-08,7.26645068369103E-05,-1.73059202753526E-06,6.99381839815544E-05,0,0,0,0,0,0,package://DOG_V5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_V5/meshes/base_link.STL,,0203Assemble【MainBody】LegAssem_V2_0203-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Waist,-8.30612614279025E-11,0.0324696863156454,0.026927954716485,0,0,0,0.0152478549678287,9.63125992413616E-06,-4.11230541178537E-14,-1.78226543860544E-14,5.88153288004388E-06,1.47868590781889E-07,5.40129346132741E-06,0,0,0,0,0,0,package://DOG_V5/meshes/Waist.STL,1,1,1,1,0,0,0,0,0,0,package://DOG_V5/meshes/Waist.STL,,0203AssembleYaw_Swing_URDF2-1,Origin_Waist,WAIST,Waist,fixed,0.00275,0.0216100000000009,0.042110000000001,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Waist_2,0.00276499606018901,0.196357417693751,0.0254713742454946,0,0,0,0.592931062078892,0.000601071923731555,1.2892451729053E-06,2.54284162583466E-05,0.000814982910525987,1.10939073171593E-05,0.00113760922496659,0,0,0,0,0,0,package://DOG_V5/meshes/Waist_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_V5/meshes/Waist_2.STL,,0203AssembleBodyUrdf-1;Neck2.3-2,Origin_Waist_2,WAIST_2,Waist_2,revolute,0.00216481992181911,-0.0158539697768376,0.0492037109056859,3.14159265358979,0,3.13862236818707,Waist,-0.00297028103512353,-0.999995588705556,0,0,0,-6.3,6.3,,,,,,,,
RSDp,-0.0178691059729414,-0.0245376874428963,-0.00594363108061242,0,0,0,0.0086699675660824,2.4185481628886E-06,4.81669677091077E-08,3.69839487042426E-07,2.62122104926124E-06,-1.15971922654064E-07,8.26141091388542E-07,0,0,0,0,0,0,package://DOG_V5/meshes/RSDp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_V5/meshes/RSDp.STL,,Right_SD_p-1,Origin_RSDp,RSDp,RSDp,revolute,-0.12555,0.18104,0.039621,3.0698,-0.053568,3.1386,Waist_2,1,0,0,0,0,-1.57,1.57,,,,,,,,
RSDy,-0.00268951566935449,-0.0432907123235488,-0.0121725877314791,0,0,0,0.0027087888876167,7.44326056980043E-07,9.46622369551178E-08,4.12905364173823E-08,5.11482673925873E-07,2.03709556090735E-07,4.13356846017117E-07,0,0,0,0,0,0,package://DOG_V5/meshes/RSDy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_V5/meshes/RSDy.STL,,RIGHT_SD_y-1,Origin_RSDy,RSDy,RSDy,revolute,0,0,0,0,0,0,RSDp,0,0.0717637669963117,-0.9974216569468,0,0,-1.4,0.14,,,,,,,,
RSDr,-0.00493739086646305,-0.111722458902205,-0.00531068604375631,0,0,0,0.0562439571547897,5.27058557552841E-06,4.82411697262601E-09,-1.90476291295014E-07,3.88872299888649E-06,1.8387664386437E-07,5.30321918043653E-06,0,0,0,0,0,0,package://DOG_V5/meshes/RSDr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_V5/meshes/RSDr.STL,,RIGHT_SD_r-1,Origin_RSDr,R_ARM_R <RIGHT_SD_r-1>,RSDr,fixed,-0.011195126175888,-0.0103012166890561,0.00605836786939832,3.06346884034212,0.00280395002746881,-3.10593935078835,RSDy,0,0,0,0,0,-0.22,1.47,,,,,,,,
RARMp,-0.0088087761774942,-0.0323182738264633,-0.00327862358260861,0,0,0,0.0200172060086156,7.84171810122147E-06,4.36365104409271E-08,5.1688917566164E-08,1.79835587991691E-06,-3.62157972747384E-08,6.76522447475707E-06,0,0,0,0,0,0,package://DOG_V5/meshes/RARMp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_V5/meshes/RARMp.STL,,RIGHT_ARM_p-1,Origin_RARMp,RARMp,RARMp,revolute,-0.0044747,-0.13995,-0.00088824,0.0063485,1.1667E-05,0.035763,RSDr,1,0,0,0,0,-2.3,0.29,,,,,,,,
R_ARM_feet,6.10622663543836E-16,0.00608969684300448,-1.38864614251943E-15,0,0,0,0.0425265143648099,8.62035734096247E-06,2.85899820196435E-21,-4.50334099268859E-10,1.41182161205622E-05,-1.56338543769749E-21,8.62228703591673E-06,0,0,0,0,0,0,package://DOG_V5/meshes/R_ARM_feet.STL,1,1,1,1,0,0,0,0,0,0,package://DOG_V5/meshes/R_ARM_feet.STL,,feet-3,Origin_R_ARM_feet,Axis_R_ARM_feet,R_ARM_feet,fixed,0,-0.163500000000001,0,-3.14159265358978,0.0535682996607567,3.14159265358979,RARMp,0,0,0,,,,,,,,,,,,
LSDp,0.00532159384429746,-0.0161945776708646,-0.0114893043421563,0,0,0,0.00824326074358946,2.40080281350151E-06,-7.45183864648934E-08,-3.65127810019035E-07,2.58667384237348E-06,-2.43286627561112E-07,8.42040299247691E-07,0,0,0,0,0,0,package://DOG_V5/meshes/LSDp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_V5/meshes/LSDp.STL,,Left_SD_p-1,Origin_LSDp,LSDp,LSDp,revolute,0.120017281372027,0.17091047709902,0.0197304821689989,3.14146501023636,-0.0525111635115858,3.14100632419705,Waist_2,0.999996607597238,0.0023806690533142,-0.00105698101866499,0,0,-1.57,1.57,,,,,,,,
LSDy,-0.00853936372151895,-0.0344797499848765,-0.0158346788164344,0,0,0,0.0027087888876167,7.44326056980033E-07,-9.7381329668678E-08,-3.43907565334529E-08,5.40139866980605E-07,1.9458760940736E-07,3.8469965296239E-07,0,0,0,0,0,0,package://DOG_V5/meshes/LSDy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://DOG_V5/meshes/LSDy.STL,,Left_SD_y-1,Origin_LSDy,LSDy,LSDy,revolute,0,0,0,0,0,0,LSDp,-0.00105698401394276,0,-0.999999441392241,0,0,-0.14,1.4,,,,,,,,
