Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00176945614024935,-0.0327834476084241,0.0843845449556888,0,0,0,0.553853044411515,0.0015762882875626,8.22091029760431E-09,7.41870738272031E-09,0.00227078630816896,-6.08362868343035E-05,0.000860974045264762,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/base_link.STL,,BodyFrame-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_Hip_pitch,0.00603741315673325,0.0192625721793669,0.0180424979701229,0,0,0,0.0109222800257722,1.7433970507819E-06,1.2256529920422E-06,-5.24677749412567E-07,5.02166848316155E-06,4.32112337565604E-08,5.30095897072275E-06,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FL_Hip_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FL_Hip_pitch.STL,,Arm_LegHipPitch_L-1,Origin_FL_Hip_pitch,"FL_Hip_pitch ",FL_Hip_pitch,revolute,0.1683,-0.04325,0.15,3.1416,0,-1.5708,base_link,0,1,0,0,0,-0.785,3.14,,,,,,,,
FL_Hip_yaw,0.00434315401862641,0.00880065015274928,0.145822333145509,0,0,0,0.0751213981405856,3.15643646937588E-05,-1.52182890640833E-06,4.55164631847622E-07,3.67076280793159E-05,-1.96903029580603E-06,1.43981727553149E-05,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FL_Hip_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FL_Hip_yaw.STL,,Arm_LegHipYaw_L-1;Arm_LegHipRoll_R-1,Origin_FL_Hip_yaw,FL_Hip_yaw,FL_Hip_yaw,revolute,0,0,0,0,0,0,FL_Hip_pitch,-1,0,0,0,0,-1.57,0.698,,,,,,,,
FL_Knee_pitch,0.0207384443608828,-0.0015079709376951,0.0611231119465607,0,0,0,0.0538525849657763,6.3473765292077E-05,-8.10334849777901E-09,6.46012481697894E-07,6.18345040128202E-05,-1.3746804990091E-06,5.53120360441999E-06,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FL_Knee_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FL_Knee_pitch.STL,,Arm_LegKneePitch_R-1,Origin_FL_Knee_pitch,FL_Knee_pitch_only,FL_Knee_pitch,revolute,-0.00057453,0.014718,0.2,0,0,-1.5708,FL_Hip_yaw,-1,0,0,0,0,-0.79,2.6,,,,,,,,
FL_Ankle_pitch,-0.00948959106910839,-0.0210171708246346,-0.00499999999038364,0,0,0,0.0278480696566679,7.45965892483639E-06,2.96894351956324E-09,8.61367822831933E-15,2.11043183006312E-05,3.65938879788216E-15,1.38459166739823E-05,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FL_Ankle_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FL_Ankle_pitch.STL,,Arm_Ankle_R-1;Arm_Foot_R-1,Origin_FL_Ankle_pitch,FL_Ankle_pitch_only,FL_Ankle_pitch,revolute,0.0102,0,0.2,-1.5708,0,1.5708,FL_Knee_pitch,0,0,1,0,0,-1.4,1.4,,,,,,,,
FR_Hip_pitch,0.0176283564302068,-0.0183468009423621,0.00397368862540913,0,0,0,0.0109222800977546,5.05235273150255E-06,-1.42173579712793E-07,1.20746110793972E-06,5.1787749086451E-06,7.60834015198952E-07,1.83489689436975E-06,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FR_Hip_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FR_Hip_pitch.STL,,Arm_LegHipPitch_R-1,Origin_FR_Hip_pitch,FR_Hip_pitch,FR_Hip_pitch,revolute,-0.1683,-0.04325,0.15,1.5099,0,0,base_link,1,0,0,0,0,-3.14,0.785,,,,,,,,
FR_Hip_yaw,0.00856805371345123,-0.145558761170643,-0.00426714719933045,0,0,0,0.0748487058782601,3.6664457531308E-05,1.98440629834362E-06,-1.5312593989805E-06,1.44743897455777E-05,-1.51808528992025E-06,3.1522316691717E-05,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FR_Hip_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FR_Hip_yaw.STL,,Arm_LegHipYaw_R-1;Arm_LegHipRoll_L-1,Origin_FR_Hip_yaw,FR_Hip_yaw,FR_Hip_yaw,revolute,0,0,0,0,0,0,FR_Hip_pitch,0,0.06085,-0.99815,0,0,-0.698,1.57,,,,,,,,
FR_Knee_pitch,0.0196494082659256,-0.00268461727393552,-0.0607744926892393,0,0,0,0.0541252479160529,6.34780592535586E-05,-2.17303252056784E-08,-6.45710343863763E-07,6.18689753867713E-05,2.78784806722058E-07,5.50139276076889E-06,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FR_Knee_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FR_Knee_pitch.STL,,Arm_LegKneePitch_L-1,Origin_FR_Knee_pitch,FR_Knee_pitch_only,FR_Knee_pitch,revolute,0.013425,-0.1996,-0.012651,1.5294,0,-3.1416,FR_Hip_yaw,-1,0,0,0,0,-2.6,0.79,,,,,,,,
FR_Ankle_pitch,9.59304857772736E-12,-0.0210171707253609,0.014489591067842,0,0,0,0.0278480696566679,1.38459166739823E-05,3.65933254550268E-15,-8.61368401999384E-15,2.11043183006312E-05,-2.96894351956708E-09,7.45965892483638E-06,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FR_Ankle_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/FR_Ankle_pitch.STL,,Arm_Ankle_L-1;Arm_Foot_L-1,Origin_FR_Ankle_pitch,"FR_Ankle_pitch_only ",FR_Ankle_pitch,revolute,0.014,0.001111,-0.20006,1.5514,0,0,FR_Knee_pitch,1,0,0,0,0,-1.4,1.4,,,,,,,,
BL_Hip_pitch,0.0176283564301993,-0.0183468009406358,0.00397368863338098,0,0,0,0.0109222800977546,5.05235273150255E-06,-1.42173579188181E-07,1.20746110800149E-06,5.17877490930623E-06,7.60834013746124E-07,1.83489689370863E-06,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/BL_Hip_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Forquad_V3/meshes/BL_Hip_pitch.STL,,LegHipPitch_L-1,Origin_BL_Hip_pitch,BL_Hip_pitch,BL_Hip_pitch,revolute,0.0899,-0.04325,-0.15,1.5099,0,-3.1416,base_link,1,0,0,0,0,-3.14,0.785,,,,,,,,
