Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0144455075455517,-0.00394801696589402,0.0219644780522235,0,0,0,0.127092394416174,6.35875327338872E-05,-6.58066667742006E-07,-2.28141316036594E-08,5.21696312321936E-05,-4.57383057174044E-07,6.36322141016105E-05,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/base_link.STL,,Waist-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pelvis_link,0.0059686813588107,-0.0264104697868881,0.0264693755768613,0,0,0,0.132595721815697,2.46933165009716E-05,-1.15599067753389E-08,3.88527795234152E-10,8.73689950962123E-05,2.23030846176424E-08,8.87648575451081E-05,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/pelvis_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/pelvis_link.STL,,waist_connect-1,Origin_pelvis_link,Waist,pelvis_link,revolute,0.0037417,0.021916,-0.095648,1.6179,0.051536,0.13434,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
RHIPp,0.0162877786402017,-0.0133630272371528,0.0127927816829681,0,0,0,0.0294901563047844,1.36413523692765E-05,1.54973998709477E-06,2.89382212231118E-06,1.29568407070941E-05,-3.52554247995872E-06,5.98007316347542E-06,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RHIPp.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RHIPp.STL,,rhip123-1,Origin_RHIPp,HIPp,RHIPp,revolute,-0.082912,-0.027004,0.048375,0.54799,0,0,pelvis_link,1,0,0,0,0,-3.14,0.79,,,,,,,,
RHIPy,-0.00372207331369154,-0.0312537397604348,0.0232286445323699,0,0,0,0.00661053437996252,5.4825030829968E-06,-1.4470005450136E-06,-8.0850882236902E-07,3.98327497583321E-06,-1.49821709259362E-06,4.01650939723747E-06,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RHIPy.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RHIPy.STL,,RHIP_Y-1,Origin_RHIPy,RHIPy,RHIPy,revolute,0,0,0,0,0,0,RHIPp,0,-0.52097,-0.85357,0,0,-0.7,1.6,,,,,,,,
RHIPr,-0.00852993333161804,-0.00430333778194963,0.040906409975098,0,0,0,0.0732320298723651,3.20005361109862E-05,-2.13314061599409E-07,-2.70133717677379E-06,2.93884998791946E-05,-2.31061547737118E-07,9.44823504652317E-06,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RHIPr.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RHIPr.STL,,RHIP_R-1,Origin_RHIPr,RHIPr <RHIP_R-1>,RHIPr,revolute,-0.0019151,-0.17144,0.10276,2.1188,0,3.1416,RHIPy,0,0,1,0,0,-1.7,0.52,,,,,,,,
RKNEEp,-0.0211592759865698,-0.0618738354626966,0.036368918248475,0,0,0,0.0494916651937661,6.26154149215685E-05,-9.75730519291046E-07,5.54214165968051E-07,1.80067075511607E-05,2.36965565467955E-05,4.85700339841872E-05,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RKNEEp.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RKNEEp.STL,,RKNEE_P-2,Origin_RKNEEp,RKNEEp,RKNEEp,revolute,-0.0145,0.0005,0,2.0938,-0.031615,-3.1045,RHIPr,0.99881,-0.0088645,0.047869,0,0,-0.79,2.6,,,,,,,,
RANKLEp,-1.85040874983722E-09,-1.84960408100565E-09,0.00500000184962268,0,0,0,0.00201848553240568,3.7794522268695E-08,6.93549584595086E-21,-6.80459451401434E-21,3.77945222686951E-08,-6.85709463351732E-21,3.77945222686951E-08,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RANKLEp.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RANKLEp.STL,,R_ANKLE_P-1,Origin_RANKLEp,RANKLEp,RANKLEp,revolute,-0.020463,-0.17739,0.10166,-3.046,1.0455,-1.4969,RKNEEp,0,-1,0,0,0,-1.4,1.4,,,,,,,,
RANKLEy,8.16258449720664E-11,0.0407877084718919,0.0214005607738913,0,0,0,0.0510962350109202,8.38514534613717E-05,5.21580961353776E-15,1.132655874317E-14,1.3744091708472E-05,-1.13165531851637E-08,9.70905380754172E-05,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RANKLEy.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/RANKLEy.STL,,L_ankle_y2-1,Origin_RANKLEy,RANKLEy,RANKLEy,revolute,-0.00024303,0,0.005,3.1416,0,-1.5708,RANKLEp,0,1,0,0,0,-0.52,0.52,,,,,,,,
LHIPp,0.00506577352286371,-0.0175468311848719,-0.0180828985978941,0,0,0,0.0294901561549225,4.4735443752088E-06,-2.66504529533205E-06,1.42372120746739E-06,1.38696354509355E-05,4.37730477214756E-08,1.42350863531616E-05,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LHIPp.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LHIPp.STL,,LHIPp-1,Origin_LHIPp,HIPp,LHIPp,revolute,0.095548,-0.027004,0.04725,2.8498,-1.5708,1.847,pelvis_link,0,1,0,0,0,-3.14,0.79,,,,,,,,
LHIPy,0.000407510080643672,0.00263808681897457,-0.0398992326314391,0,0,0,0.0425690847350749,1.56132626802381E-05,7.07458995414407E-06,-2.90668462732435E-06,3.24353194636072E-05,4.47644236574541E-06,3.17288201922621E-05,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LHIPy.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LHIPy.STL,,LHIPy-1,Origin_LHIPy,LHIPy,LHIPy,revolute,0,0,0,0,0,0,LHIPp,-1,0,0,0,0,-1.6,0.7,,,,,,,,
LHIPr,-0.00858602610093928,-0.00470614401994481,-0.0410634630964772,0,0,0,0.0730956941210514,3.19983853255584E-05,-2.13601696053138E-07,2.70146546775301E-06,2.93873094391899E-05,2.28332283113833E-07,9.44705371354832E-06,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LHIPr.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LHIPr.STL,,LHIP_R-1,Origin_LHIPr,LHIPr <LHIP_R-1>,LHIPr,revolute,0.0020009,0.00086595,-0.2,3.1416,0,1.5708,LHIPy,0,0,-1,0,0,-0.52,1.7,,,,,,,,
LKNEEp,0.0198943593807984,0.00129513735668229,0.0714650498121955,0,0,0,0.135376322755205,0.000169233198460797,2.48776236698737E-08,1.74423884604693E-06,0.000165987468170451,3.70936894431773E-06,1.38660398030817E-05,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LKNEEp.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LKNEEp.STL,,L_KNEE_P-1,Origin_LKNEEp,LKNEEp,LKNEEp,revolute,-0.0152,0,0,0,0,0,LHIPr,-1,0,0,0,0,-2.6,0.79,,,,,,,,
LANKLEp,-1.84958448556927E-09,-1.84959818294583E-09,0.00500000184879898,0,0,0,0.00201848553240569,3.77945222686952E-08,6.89341303228723E-21,-6.77853832471892E-21,3.77945222686951E-08,-6.84698752040769E-21,3.77945222686952E-08,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LANKLEp.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_Legs_V3.SLDASM/meshes/LANKLEp.STL,,L_ANKLE_P-1,Origin_LANKLEp,LANKLEp,LANKLEp,revolute,0.0152,0.005,0.2,1.5708,1.5708,0,LKNEEp,0,-1,0,0,0,-1.4,1.4,,,,,,,,
