Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.20525189667888E-17,-0.00116687807024146,9.70352431595157E-19,0,0,0,0.127092394416174,6.36248687671472E-05,3.23764128181859E-21,8.56130297090827E-21,5.21136229193314E-05,-4.98443865104143E-21,6.36508863812122E-05,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/base_link.STL,,URDFWaistV4-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
pelvis_link,0.000246658721500989,-0.0263650300485569,0.0262415333889873,0,0,0,0.135225092506038,2.48084693670909E-05,9.13293468847299E-11,7.12543825132061E-11,8.77655830853484E-05,2.89164646463755E-08,8.92384807900428E-05,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/pelvis_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/pelvis_link.STL,,URDFwaist_connectV4-1,Origin_pelvis_link,Waist,pelvis_link,revolute,0,0.04055,-0.095,1.5708,0,0,base_link,0,0,1,0,0,-1.6,1.6,,,,,,,,
RHIPp,0.0176283564301995,-0.0127769986297945,0.0137529492155175,0,0,0,0.0294901562639374,1.36413523750568E-05,1.54973998562193E-06,2.89382212554602E-06,1.29568407083375E-05,-3.52554248132011E-06,5.98007315980272E-06,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RHIPp.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RHIPp.STL,,URDFrhip123V4-1,Origin_RHIPp,HIPp,RHIPp,revolute,-0.0899,-0.027,0.04725,0.54799,0,0,pelvis_link,1,0,0,0,0,-3.1,0.79,,,,,,,,
RHIPy,-0.00372207331369191,-0.0312537397608706,0.0232286445316926,0,0,0,0.00661053437996253,5.48250308299681E-06,-1.4470005450136E-06,-8.08508822369013E-07,3.9832749758332E-06,-1.49821709259362E-06,4.01650939723747E-06,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RHIPy.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RHIPy.STL,,URDFRHIP_YV4-1,Origin_RHIPy,RHIPy,RHIPy,revolute,0.0013406,0.00058603,0.00096017,0,0,0,RHIPp,0,0.52097,0.85357,0,0,-1.6,0.7,,,,,,,,
RHIPr,-0.00852993209921661,-0.00430333806534099,0.0409064137132635,0,0,0,0.0732320224247994,3.20005325214886E-05,-2.13313819385782E-07,-2.70133661582282E-06,2.93884957981145E-05,-2.31062770446574E-07,9.4482341452486E-06,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RHIPr.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RHIPr.STL,,RHIP_R-1,Origin_RHIPr,RHIPr <RHIP_R-1>,RHIPr,revolute,-0.0019151,-0.17144,0.10276,2.1188,0,3.1416,RHIPy,0,0,1,0,0,-1.7,0.52,,,,,,,,
RKNEEp,-0.0208592225572688,-0.0628859174153643,0.0364105609882808,0,0,0,0.0489802814623042,6.25685418392409E-05,-9.75526866469471E-07,5.53113397277369E-07,1.79827988662239E-05,2.36965661459174E-05,4.8546073873039E-05,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RKNEEp.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RKNEEp.STL,,URDFRKNEE_PV4-2,Origin_RKNEEp,RKNEEp,RKNEEp,revolute,-0.0145,0.0005,0,2.0938,-0.031615,-3.1045,RHIPr,0.99881,-0.0088645,0.047869,0,0,-0.79,2.6,,,,,,,,
RANKLEp,0.000499998150396253,1.84960360916087E-09,-0.00486658078174895,0,0,0,0.00201848553240569,3.77945222686951E-08,-6.92461213790612E-21,6.88284860579712E-21,3.77945222686952E-08,-6.87032460696589E-21,3.77945222686951E-08,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RANKLEp.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RANKLEp.STL,,URDFR_ANKLE_PV4-1,Origin_RANKLEp,RANKLEp,RANKLEp,revolute,-0.020463,-0.17739,0.10166,0.0956,1.0455,-1.4969,RKNEEp,0,1,0,0,0,-1.4,1.4,,,,,,,,
RANKLEy,2.18288026543334E-11,0.0405307343912282,0.021533981746651,0,0,0,0.0510962353204699,8.38514534857727E-05,5.00798540029232E-15,3.65941089800678E-15,1.37440917358923E-05,-1.13165479474976E-08,9.70905380762813E-05,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RANKLEy.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/RANKLEy.STL,,URDFL_ankle_y2V4-1,Origin_RANKLEy,RANKLEy,RANKLEy,revolute,0,0,-0.005,0,0,1.5708,RANKLEp,0,1,0,0,0,-0.52,0.52,,,,,,,,
LHIPp,0.0050657735192334,0.0175468312094787,0.0180828986022031,0,0,0,0.0294901561156115,4.47354437359763E-06,2.66504529496216E-06,-1.42372121100556E-06,1.38696354566827E-05,4.37730445482361E-08,1.42350863513426E-05,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/LHIPp.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/LHIPp.STL,,URDFLHIPpV4-1,Origin_LHIPp,HIPp,LHIPp,revolute,0.0899,-0.027,0.04725,1.5708,-1.5708,0,pelvis_link,0,-1,0,0,0,-3.1,0.79,,,,,,,,
LHIPy,0.000407510080640483,-0.00263808681897358,0.0398992326314333,0,0,0,0.0425690847350748,1.56132626802381E-05,-7.07458995414408E-06,2.90668462732438E-06,3.24353194636071E-05,4.47644236574541E-06,3.17288201922621E-05,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/LHIPy.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://URDF_Humanoid_legs_V6/meshes/LHIPy.STL,,URDFLHIPyV4-1,Origin_LHIPy,LHIPy,LHIPy,revolute,0,0,0,0,0,0,LHIPp,1,0,0,0,0,-0.7,1.6,,,,,,,,
