Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00050091090873388,-0.00998629103930559,0.0173218447986229,0,0,0,0.135949336403266,1.97764712583923E-05,2.95428059624505E-09,-2.25102941158599E-08,7.26645068369103E-05,-1.73059202753526E-06,6.99381839815544E-05,0,0,0,0,0,0,package://V3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/base_link.STL,,0203Assemble【MainBody】LegAssem_V2_0203-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Waist,-8.30608247112674E-11,0.0324696863156453,0.00531795471648416,0,0,0,0.0152478549678287,9.63125992413617E-06,-4.11230545538282E-14,-1.78226542265837E-14,5.88153288004389E-06,1.47868590781889E-07,5.40129346132741E-06,0,0,0,0,0,0,package://V3/meshes/Waist.STL,1,1,1,1,0,0,0,0,0,0,package://V3/meshes/Waist.STL,,0203AssembleYaw_Swing_URDF2-1,Origin_Waist,WAIST,Waist,revolute,0.00275,0,0.042110000000001,1.5707963267949,0,0,base_link,0,0,1,0,0,-0.52,0.52,,,,,,,,
Waist_2,0.00048892162819197,0.158904911204199,-0.00145233666018986,0,0,0,0.592931062078891,0.000601071923731556,1.28924517290492E-06,2.54284162583461E-05,0.000814982910525989,1.10939073171587E-05,0.00113760922496659,0,0,0,0,0,0,package://V3/meshes/Waist_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/Waist_2.STL,,0203AssembleBodyUrdf-1;Neck2.3-2,Origin_Waist_2,WAIST_2,Waist_2,revolute,0,0.0216051320794004,0.000669999999999147,-3.14159265358979,0,3.13862236818707,Waist,-0.00297028103512349,-0.999995588705556,0,0,0,-3.14,3.14,,,,,,,,
RSDp,0.029365339777939,-0.0145376874428952,-0.0120536310806074,0,0,0,0.00866996756608241,2.4185481628886E-06,4.81669677091078E-08,3.69839487042427E-07,2.62122104926124E-06,-1.15971922654066E-07,8.26141091388542E-07,0,0,0,0,0,0,package://V3/meshes/RSDp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/RSDp.STL,,Right_SD_p-1,Origin_RSDp,RSDp,RSDp,revolute,-0.0810547566654313,0.133916214070981,0.00336599597935944,3.06976714570975,-0.053568299660757,3.13862236818707,Waist_2,1,0,0,0,0,-0.75,1.57,,,,,,,,
RSDy,-0.00268951566935519,-0.0432907123235494,-0.0121725877314745,0,0,0,0.0027087888876167,7.44326056980046E-07,9.46622369551179E-08,4.1290536417383E-08,5.11482673925875E-07,2.03709556090735E-07,4.13356846017119E-07,0,0,0,0,0,0,package://V3/meshes/RSDy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/RSDy.STL,,RIGHT_SD_y-1,Origin_RSDy,RSDy,RSDy,revolute,0.047234445750881,0.0100000000000018,-0.00610999999999955,0,0,0,RSDp,0,0.0717637669963114,-0.9974216569468,0,0,-1.39,0.14,,,,,,,,
RSDr,-0.000648993351435506,-0.0644490658095404,-0.00501037463776728,0,0,0,0.0562439571547897,5.2705855755284E-06,4.82411697262524E-09,-1.90476291295014E-07,3.88872299888649E-06,1.83876643864369E-07,5.30321918043652E-06,0,0,0,0,0,0,package://V3/meshes/RSDr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/RSDr.STL,,RIGHT_SD_r-1,Origin_RSDr,R_ARM_R <RIGHT_SD_r-1>,RSDr,revolute,-0.00521918016205247,-0.0572706907633618,0.00268037895526259,3.06346884034212,0.00280395002747017,-3.10593935078835,RSDy,0.035754924801615,-0.999340423672474,-0.00634846174690388,0,0,-0.22,1.47,,,,,,,,
RARMp,-0.0109855620136424,-0.0393014331349118,-0.00773020942152066,0,0,0,0.0235552377109809,5.8944608141404E-06,4.34439663989622E-08,4.87026070269323E-08,1.84730677144131E-06,-1.05630143241146E-08,4.82704520175826E-06,0,0,0,0,0,0,package://V3/meshes/RARMp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/RARMp.STL,,RIGHT_ARM_p-1,Origin_RARMp,RARMp,RARMp,revolute,0.0033115,-0.092555,-0.00059797,0.0063485,1.1667E-05,0.035763,RSDr,1,0,0,0,0,-1.57,0.29,,,,,,,,
RARMAP,-1.68452360393978E-09,1.78252146376678E-09,1.87540552878951E-09,0,0,0,0.00289019916273484,3.47835662925469E-08,-8.69331885005767E-21,-9.15043785998522E-21,3.47835662925478E-08,9.64835680100363E-21,3.47835662925488E-08,0,0,0,0,0,0,package://V3/meshes/RARMAP.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://V3/meshes/RARMAP.STL,,RIGHT_ARM_ANKLE_P-1,RARMAP,Axis_RARMAP,RARMAP,revolute,-0.00350000000000036,-0.140000000000001,0,-3.14159265358978,0.0535682996607567,3.14159265358979,RARMp,-0.998565561702505,0,0.0535426837370016,0,0,-0.06,0.43,,,,,,,,
RARMAy,-2.19445628335535E-10,-0.0174193425200825,0.0244034803681567,0,0,0,0.0137620822183961,5.08058079936302E-06,1.68282660446282E-14,8.1798155085746E-15,6.07928688954362E-06,2.7604838016127E-09,1.17720006677435E-06,0,0,0,0,0,0,package://V3/meshes/RARMAy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/RARMAy.STL,,RIGHT_ARM_ANKLE_Y-1,123yrs,RARMAy,RARMAy,revolute,0,0,0,0,0.0535682996607567,0,RARMAP,0,0,1,0,0,-0.17,0.17,,,,,,,,
LSDp,-0.0264850638874404,-0.0161380599865885,-0.0115557024217441,0,0,0,0.00824326074358946,2.40080281350151E-06,-7.45183864648936E-08,-3.65127810019035E-07,2.58667384237348E-06,-2.43286627561113E-07,8.42040299247692E-07,0,0,0,0,0,0,package://V3/meshes/LSDp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/LSDp.STL,,Left_SD_p-1,Origin_LSDp,LSDp,LSDp,revolute,0.0859748782366248,0.133420086925566,-0.00559010536299459,3.14146501023636,-0.0525111635115858,3.14100632419705,Waist_2,0.999996607597238,0.0023806690533142,-0.00105698101866506,0,0,-0.75,1.57,,,,,,,,
LSDy,-0.00853936372152249,-0.0344797499848761,-0.0158346788164377,0,0,0,0.00270878888761669,7.44326056980032E-07,-9.73813296686781E-08,-3.4390756533452E-08,5.40139866980604E-07,1.9458760940736E-07,3.8469965296239E-07,0,0,0,0,0,0,package://V3/meshes/LSDy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/LSDy.STL,,Left_SD_y-1,Origin_LSDy,LSDy,LSDy,revolute,-0.0318066577317343,5.65176842755588E-05,-6.63980795845814E-05,0,0,0,LSDp,-0.00105698401394164,0,-0.999999441392241,0,0,-0.14,1.39,,,,,,,,
LSDr,-0.000141821718329591,-0.0647171132525845,-0.00916727769024185,0,0,0,0.057474588250429,5.32090282853741E-06,-4.50566976959882E-08,1.80744272504802E-07,3.89871010021898E-06,9.66718121994144E-08,5.34945047353967E-06,0,0,0,0,0,0,package://V3/meshes/LSDr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/LSDr.STL,,Left_SD_r-1,Origin_LSDr,L_SD_r <Left_SD_r-1>,LSDr,revolute,-0.00599999999999998,-0.0471154508071299,0,3.06976714570974,-0.00105698421072618,3.14159265358979,LSDy,0,-0.9974216569468,-0.0717637669963115,0,0,-1.47,0.22,,,,,,,,
LARMp,0.00720772208529306,-0.0378379502783512,-0.00744235818635385,0,0,0,0.0244662995824957,5.94426076058107E-06,-4.3741422932966E-08,-5.50325462488362E-08,1.87318690292225E-06,-1.04237146319795E-08,4.85241707012103E-06,0,0,0,0,0,0,package://V3/meshes/LARMp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/LARMp.STL,,Left_ARM_p-1,Origin_LARMp,LARMp,LARMp,revolute,0,-0.092565681816204,-0.00666003387379006,0.0718255078798755,0,0,LSDr,-1,0,0,0,0,-0.29,1.57,,,,,,,,
LARMAp,1.782521449889E-09,1.78252097110532E-09,-1.78252150540015E-09,0,0,0,0.00289019916273485,3.47835662925479E-08,9.18843897040946E-21,-9.18640123540619E-21,3.47835662925479E-08,-9.18749506362648E-21,3.47835662925479E-08,0,0,0,0,0,0,package://V3/meshes/LARMAp.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://V3/meshes/LARMAp.STL,,Left_ARM_ankle_p-1,LARAMp2,LARMAp,LARMAp,revolute,0,-0.14,0,1.5707963267949,0,-1.57079632679495,LARMp,0,0,-1,0,0,-0.06,0.43,,,,,,,,
LARMAy,2.13694381634433E-10,-0.0174193425571761,-0.024403480485095,0,0,0,0.0137620821529197,5.08058079734746E-06,-1.65419041207627E-14,8.13063643154988E-15,6.07928688955585E-06,-2.76048381992039E-09,1.17720006436185E-06,0,0,0,0,0,0,package://V3/meshes/LARMAy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/LARMAy.STL,,Left_ARM_ankle_y-1,Origin_LARMAy,LARMAy,LARMAy,revolute,0,0,0,-1.5707963267949,1.57079631189374,0,LARMAp,0,0,1,0,0,-0.17,0.17,,,,,,,,
RHIPp,0.0295665493479005,-0.0145376874433172,-0.0120536310802667,0,0,0,0.00866996756566654,2.41854816289442E-06,4.81669677340809E-08,3.69839487107744E-07,2.62122104924701E-06,-1.1597192265796E-07,8.26141091389484E-07,0,0,0,0,0,0,package://V3/meshes/RHIPp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/RHIPp.STL,,0203AssembleBodyURDF_【1217RightThighP1】【1216】【1209】RightThighP1-1,Origin_RHIPp,RHIPp,RHIPp,revolute,0.0177143446801997,0,0,1.49897081891485,0,0,base_link,-1,0,0,0,0,-1.57,0.75,,,,,,,,
RHIPy,-0.00268951566935543,-0.0432907123235494,-0.0121725877314746,0,0,0,0.00270878888761669,7.44326056980044E-07,9.46622369551162E-08,4.12905364173838E-08,5.11482673925872E-07,2.03709556090734E-07,4.13356846017117E-07,0,0,0,0,0,0,package://V3/meshes/RHIPy.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V3/meshes/RHIPy.STL,,0203AssembleBodyURDF_【1217RightThighP2】【1216】【1209】RightThighP2-1,Origin_RHIPy,RHIPy,RHIPy,revolute,0.0474356553198006,0.0100000000000004,-0.00610999999999983,0,0,0,RHIPp,0,0.071763766996305,-0.9974216569468,0,0,-1.39,0.14,,,,,,,,
